№; region;customer; type; receiver;win; model; ;final price; trades date
2624;Брянская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;;Ф;;;1;отменен;24.07.2020 10:09
2625;Смоленская область;ГЛАВНОЕ УПРАВЛЕНИЕ СМОЛЕНСКОЙ ОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;РХА;УРИ;GEMSS;КМС – 950 ;1;8 620 080,00;23.07.2020 12:25
2626;Архангельская область;КОНТРАКТНОЕ АГЕНТСТВО АО;;Ф;;;1;не состоялся;23.07.2020 13:15
2627;Архангельская область;КОНТРАКТНОЕ АГЕНТСТВО АО;;Ф;;;1;не состоялся;23.07.2020 13:15
2628;Воронежская область;УРКС ВО;М;ППС;Ренмедпром;Омикрон;1;12 000 000,00;24.07.2020 11:35
2629;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППМ;Амико;«МЕДИКС-Р-«АМИКО» ;1;16 009 933,33;24.07.2020 11:10
2630;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППМ;Амико;«МЕДИКС-Р-«АМИКО» ;1;16 009 933,33;24.07.2020 11:10
2631;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППМ;Амико;«МЕДИКС-Р-«АМИКО» ;1;16 009 933,33;24.07.2020 11:10
2632;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППМ;Амико;«МЕДИКС-Р-«АМИКО» ;1;16 009 933,33;24.07.2020 11:10
2633;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППМ;Амико;«МЕДИКС-Р-«АМИКО» ;1;16 009 933,33;24.07.2020 11:10
2634;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППМ;Амико;«МЕДИКС-Р-«АМИКО» ;1;16 009 933,33;24.07.2020 11:10
2635;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;Ма;CCD;ДжиСиМед;МЛПК «Диагностика»;1;11 000 000,00;24.07.2020 11:20
2636;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;;плюс 5 ФАП;;;1;;24.07.2020 11:20
2637;Магаданская область;"МОГАУЗ ""ХАСЫНСКАЯ РАЙОННАЯ БОЛЬНИЦА""";АПР;П;н/д;;1;2 400 000,00;
2638;Калужская область;"ФГБУ ""НМИЦ РАДИОЛОГИИ"" МИНЗДРАВА РОССИИ";ПЭТ/КТ;;;;1;;24.07.2020 9:25
2639;Республика Бурятия;РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ;КТ;64;Siemens;SOMATOM go.Up;1;39 707 796,66;24.07.2020 11:50
2640;Вологодская область;КОМИТЕТ ГОСЗАКАЗА  ОБЛАСТИ;;КТ;;;1;отменен;27.07.2020 12:45
2641;Республика Крым;КОМИТЕТ ГОСЗАКАЗА КРЫМА;МРТ;1,5;;;1;;24.07.2020 9:30
2642;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;РХА;УРИ;Гелпик;«РЕНЕКС» ;1;6 500 000,00;29.07.2020 9:40
2642;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;РХА;УРИ;Гелпик;«РЕНЕКС» ;1;6 500 000,00;29.07.2020 9:40
2643;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;;Фа;;;1;отменен;29.07.2020 11:55
2644;Алтайский край;"КГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";РХА;ПП;Гелпик;«РЕНЕКС» ;1;10 500 000,00;30.07.2020 11:55
2645;Санкт-Петербург;"ФГБУ ""НМИЦ ИМ. В.А. АЛМАЗОВА"" МИНЗДРАВА РОССИИ";М;ППС;GE;Senographe Pristina ;1;36 789 819,33;28.07.2020 10:50
2646;Республика Карелия;"ГБУЗ ""ГДБ""";;АПР;;;1;не состоялся;28.07.2020 9:15
2647;Кемеровская область;"ГКУ ""АЗ СЗ""";КТ;32;Siemens;SOMATOM go.Up;1;42 785 000,00;27.07.2020 10:00
2648;Санкт-Петербург;"СПБ ГБУЗ ""ДГМКЦ ВМТ ИМ. К.А. РАУХФУСА""";КРТ;ППД2;GMM;OPERA 90/90 65;1;21 496 666,66;27.07.2020 10:35
2649;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;Фа;ПП;ДжиСиМед;"МЛПМ «Флюорограф»
 (с флюорографом цифровым малодозовым ФЦМБарс-«РЕНЕКС») 
";1;11 000 000,00;27.07.2020 11:00
2650;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;Ма;CCD;Радиан;«Лаборатория рентгенодиагностическая передвижная».;1;12 999 000,00;27.07.2020 11:00
2651;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;Ма;CCD;Радиан;«Лаборатория рентгенодиагностическая передвижная».;1;12 999 000,00;27.07.2020 11:00
2652;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;Ма;CCD;Радиан;«Лаборатория рентгенодиагностическая передвижная».;1;12 999 000,00;27.07.2020 11:00
2653;Томская область;"ОГАУЗ ""КОЛПАШЕВСКАЯ РБ""";;Ф;;;1;не состоялся;
2654;Республика Саха (Якутия);"ГКУ РС(Я) ""ЦЕНТР ЗАКУПОК РС(Я)""";МРТ;1,5;;;1;;29.07.2020 9:25
2655;Москва;"ГБУ ""МОСВЕТОБЪЕДИНЕНИЕ""";КТ;16;ANKE ;Anatom 16       ;1;27 055 853,67;30.07.2020 11:21
2656;Республика Башкортостан;ГК РБ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;МРТ;1,5;;;1;;28.07.2020 9:40
2657;Кемеровская область;"ГКУ ""АЗ СЗ""";КТ;онко;Siemens;SOMATOM Confidence ;1;77 500 000,00;28.07.2020 9:20
2658;Санкт-Петербург;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;КТ;128;GE;Revolution EVO ;1;55 000 000,00;28.07.2020 9:25
2659;Санкт-Петербург;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;КТ;128;GE;Revolution EVO ;1;55 000 000,00;28.07.2020 9:25
2660;Санкт-Петербург;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;КТ;128;GE;Revolution EVO ;1;55 000 000,00;28.07.2020 9:25
2661;Санкт-Петербург;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;КТ;128;GE;Revolution EVO ;1;55 000 000,00;28.07.2020 9:25
2662;Москва;"ФГАУ ""НМИЦ НЕЙРОХИРУРГИИ ИМ. АК. Н.Н. БУРДЕНКО"" МИНЗДРАВА РОССИИ";МРТ;1,5;;;1;;
2663;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4МТ-Плюс» ;1;13 940 000,00;31.07.2020 10:35
2664;Курганская область;"ГБУ ""ПЕТУХОВСКАЯ ЦРБ""";КРД-3;УРИ+CR;Гелпик;"""РЕНЕКС-РЦ"" Вариант 6, ";1;14 500 000,00;31.07.2020 13:55
2665;Республика Крым;КОМИТЕТ ГОСЗАКАЗА КРЫМА;М;ППС;Ренмедпром;ОМИКРОН ;1;13 432 500,00;30.07.2020 9:55
2666;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;;Фа;;;1;отменен;30.07.2020 11:15
2667;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;;Фа;;;1;отменен;30.07.2020 11:15
2668;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;;Фа;;;1;отменен;30.07.2020 11:15
2669;Московская область;"ФГБУ ""МФК МИНФИНА РОССИИ""";КРТ;ППД2;Shimadzu;SONIALVISION G4 90\90 80;1;35 528 277,12;30.07.2020 9:25
2670;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 517 300,00;30.07.2020 0:00
2671;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 153 400,00;30.07.2020 0:00
2672;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;1 511 600,00;30.07.2020 0:00
2673;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;12 157 666,67;30.07.2020 0:00
2674;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 153 400,00;30.07.2020 0:00
2675;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 400 000,00;30.07.2020 0:00
2676;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 000 000,00;30.07.2020 0:00
2677;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 000 000,00;30.07.2020 0:00
2678;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;14 652 600,00;30.07.2020 0:00
2679;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 000 000,00;30.07.2020 0:00
2680;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 000 000,00;30.07.2020 0:00
2681;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 783 300,00;30.07.2020 0:00
2682;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 226 833,33;30.07.2020 0:00
2683;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;15 000 000,00;30.07.2020 0:00
2684;Московская область;ФГБУЗ МСЧ № 154 ФМБА РОССИИ;КРД-2;ППС;МТЛ;"""Р-500 ""Дуограф"",  ";1;14 910 199,00;30.07.2020 0:00
2685;Республика Ингушетия;КОМИТЕТ ГОСЗАКАЗА ИНГУШЕТИИ;КРД-2/СМ;ППС;МТЛ;«УнивеРС-МТ» ;1;9 684 933,33;29.07.2020 11:35
2686;Брянская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;АПР;П;Гелпик;«РЕНЕКС» ;1;4 700 000,00;29.07.2020 11:30
2687;Удмуртская Республика;"ГКУ УР ""РЦЗ УР""";РХА;ПП;Siemens;Cios Alpha. ;1;21 198 468,53;28.07.2020 9:40
2688;Москва;"ФГАУ ""НМИЦ НЕЙРОХИРУРГИИ ИМ. АК. Н.Н. БУРДЕНКО"" МИНЗДРАВА РОССИИ";?;;;;1;;
2689;Республика Северная Осетия - Алания;"ГБУЗ ""РКБСМП"" МЗ РСО-АЛАНИЯ";КТ;32;МТЛ;OPTIMA CT540;1;35 000 000,00;10.07.2020 21:48
2690;Республика Мордовия;"ГБУЗ РЕСПУБЛИКИ МОРДОВИЯ ""РЕСПУБЛИКАНСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.В. КАТКОВА""";АПР;CR;Orange;;1;3 790 000,00;08.07.2020 7:44
2691;Республика Бурятия;"ГБУЗ ""ТЦМК РБ""";АПР;ППМ;МТЛ;«МобиРен-4МТ-Д ;1;7 000 000,00;08.07.2020 6:47
2692;Республика Карелия;"ГБУЗ ""РИБ""";КТ;32;Siemens;Somatom go.Now;1;30 820 000,00;07.07.2020 23:21
2693;Республика Карелия;"ГБУЗ ""ДРБ""";АПР;ППМ;Севкаврентген;Парус;1;1 825 000,00;07.07.2020 6:24
2694;Саратовская область;"ГУЗ СО ""БГКБ""";КРД-3;УРИ+ППМ;Амико;«МЕДИКС-РЦ-«АМИКО»;1;20 800 000,00;03.07.2020 12:51
2695;Калининградская область;ИНФЕКЦИОННАЯ БОЛЬНИЦА;КРД-2;ППС;МТЛ;«УниКоРД-МТ»;1;16 380 000,00;01.07.2020 6:44
2696;Владимирская область;"ГБУЗ ВО ""ГУСЬ-ХРУСТАЛЬНАЯ ГБ""";АПР;ППМ;МТЛ;МобиРен-4МТ-Д;1;7 200 000,00;30.06.2020 14:03
2697;Архангельская область;"ГБУЗ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ВЕЛЬСКАЯ ЦРБ""";АПР;ППМ;Амико;Mobildrive;1;7 800 000,00;21.07.2020 19:25
2698;Курская область;ОБУЗ КГКБ СМП;АПР;ППМ;Гелпик;Ренекс;1;5 150 000,00;26.06.2020 6:46
2699;Курская область;ОБУЗ КГКБ СМП;АПР;ППМ;Гелпик;Ренекс;1;5 150 000,00;26.06.2020 6:46
2700;Курская область;ОБУЗ КГКБ СМП;АПР;ППМ;Гелпик;Ренекс;1;5 150 000,00;26.06.2020 6:46
2701;Курская область;ОБУЗ КГКБ СМП;АПР;ППМ;Гелпик;Ренекс;1;5 150 000,00;26.06.2020 6:46
2702;Курская область;ОБУЗ КГКБ СМП;АПР;ППМ;Гелпик;Ренекс;1;5 150 000,00;26.06.2020 6:46
2703;Курская область;ОБУЗ КГКБ СМП;АПР;ППМ;Гелпик;Ренекс;1;5 150 000,00;26.06.2020 6:46
2704;Санкт-Петербург;"ФГБУ ""НМИЦ ИМ. В.А. АЛМАЗОВА"" МИНЗДРАВА РОССИИ";АПР;ППМ;Электрон;АПР-«ОКО»;1;9 575 840,00;14.07.2020 4:38
2705;Санкт-Петербург;"ФГБУ ""НМИЦ ИМ. В.А. АЛМАЗОВА"" МИНЗДРАВА РОССИИ";АПР;ППЭ;Samsung;GM85;1;17 900 000,00;14.07.2020 4:40
2706;Нижегородская область;"ГБУЗ НО ""ГКБ № 10""";АПР;ППМ;Listem;DMH-325;1;6 600 000,00;24.06.2020 7:50
2707;Республика Бурятия;"ГБУЗ ""ТЦМК РБ""";АПР;ППМ;Гелпик;«РЕНЕКС»;1;11 996 000,00;23.06.2020 3:57
2708;Архангельская область;"ГБУЗ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""КОТЛАССКАЯ ЦГБ""";АПР;ППМ;Амико;Mobildrive;1;7 800 000,00;23.06.2020 3:23
2709;Омская область;"БУЗОО ""БОЛЬШЕУКОВСКАЯ ЦРБ""";CR;;;;1;2 478 850,00;20.06.2020 12:12
2710;Архангельская область;"ГБУЗ АО ""АОКБ""";АПР;ППМ;Ренмедпром;Дельта;1;6 057 000,00;21.07.2020 3:27
2711;Республика Башкортостан;ФГБОУ ВО БГМУ МИНЗДРАВА РОССИИ;АПР;П;Уралрентген;12Л7-УР;1;1 150 000,00;02.07.2020 18:58
2712;Красноярский край;МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ КРАСНОЯРСКОГО КРАЯ;АПР;CR;DIXION;DIXIONRemodix 9507;1;6 280 000,00;13.07.2020 19:06
2713;Чеченская Республика;"ГБУ ""КБ №1 Г.ГРОЗНОГО""";АПР;;н/д;;1;8 425 657,42;29.06.2020 14:25
2714;Тюменская область;Тюменская больница ФГБУЗ ЗСМЦ ФМБА России;АПР;ППМ;Гелпик;«РЕНЕКС»;1;4 750 000,00;16.06.2020 14:17
2715;Республика Карелия;"ГБУЗ ""СЕГЕЖСКАЯ ЦРБ""";АПР;ППМ;Medical ECONET;meX+100с;1;3 800 000,00;07.07.2020 23:21
2716;Ярославская область;"ГБУЗ ЯО ""ТУТАЕВСКАЯ ЦРБ""";АПР;П;Orange;1060HF;1;900 000,00;16.06.2020 5:04
2717;Брянская область;"ГБУЗ ""УНЕЧСКАЯ ЦРБ""";АПР;;Ренмедпром;Дельта;1;6 200 000,00;16.06.2020 4:30
2718;Свердловская область;"ФГБУ ""НИИ ОММ"" МИНЗДРАВА  РОССИИ";АПР;ППЭ;Samsung;GM85;1;15 000 000,00;26.06.2020 14:56
2719;Москва;ФСИН РОССИИ;АПР;ППМ;Гелпик; «РЕНЕКС»;1;24 000 000,00;24.06.2020 7:33
2720;Москва;ФСИН РОССИИ;КРД-3;УРИ+CR;Севкаврентген;«Диаком»;1;33 360 000,00;24.06.2020 7:39
2721;Республика Дагестан;"ГБУ РД ""ИЗБЕРБАШСКАЯ ЦГБ""";АПР;;ECOTRON;EPX-F2800 ;1;1 549 800,00;11.06.2020 6:40
2722;Санкт-Петербург;СПБ ГБУЗ КЛИНИЧЕСКАЯ БОЛЬНИЦА СВЯТИТЕЛЯ ЛУКИ;АПР;ППЭ;Samsung;GM85;1;14 940 000,00;10.07.2020 19:21
2723;Республика Татарстан;МИНЗДРАВ РЕСПУБЛИКИ ТАТАРСТАН;КТ;80;Toshiba/Canon;Aquilion Lightning (TSX-036A);1;36 300 000,00;09.06.2020 11:02
2724;Республика Татарстан;МИНЗДРАВ РЕСПУБЛИКИ ТАТАРСТАН;КРД-2;ППС;Гелпик;«РЕНЕКС-РЦ»;1;10 600 000,00;09.06.2020 10:50
2725;Республика Татарстан;МИНЗДРАВ РЕСПУБЛИКИ ТАТАРСТАН;КРД-2;ППС;Гелпик;«РЕНЕКС-РЦ»;1;10 600 000,00;09.06.2020 10:50
2726;Саратовская область;ФГБОУ ВО САРАТОВСКИЙ ГМУ ИМ.В.И.РАЗУМОВСКОГО МИНЗДРАВА РОССИИ;;;;;1;51 890 000,00;17.07.2020 20:03
2727;Орловская область;"БУЗ ОРЛОВСКОЙ ОБЛАСТИ ""ГОРОДСКАЯ БОЛЬНИЦА ИМ. С. П. БОТКИНА""";АПР;ППМ;Italray;MATRIX;1;8 000 000,00;17.07.2020 18:32
2728;Алтайский край;МИНЗДРАВ АЛТАЙСКОГО КРАЯ;АПР;CR;Dixion; Remodix 9507;1;6 795 000,00;09.06.2020 5:08
2729;Алтайский край;МИНЗДРАВ АЛТАЙСКОГО КРАЯ;АПР;CR;Dixion; Remodix 9507;1;6 795 000,00;09.06.2020 5:08
2730;Алтайский край;МИНЗДРАВ АЛТАЙСКОГО КРАЯ;АПР;CR;Dixion; Remodix 9507;1;6 795 000,00;09.06.2020 5:08
2731;Алтайский край;МИНЗДРАВ АЛТАЙСКОГО КРАЯ;АПР;CR;Dixion; Remodix 9507;1;6 795 000,00;09.06.2020 5:08
2732;Алтайский край;МИНЗДРАВ АЛТАЙСКОГО КРАЯ;АПР;CR;Dixion; Remodix 9507;1;6 795 000,00;09.06.2020 5:08
2733;Алтайский край;МИНЗДРАВ АЛТАЙСКОГО КРАЯ;АПР;CR;Dixion; Remodix 9507;1;6 795 000,00;09.06.2020 5:08
2734;Воронежская область;"БУЗ ВО ""ВГКБСМП № 8""";АПР;ППМ;Medical ECONET;meX+100с;1;38 350 000,00;10.06.2020 11:39
2735;Санкт-Петербург;ФГБОУ ВО СЗГМУ ИМ. И.И. МЕЧНИКОВА МИНЗДРАВА РОССИИ;АПР;ППМ;Ренмедпром;Дельта;1;11 550 000,00;17.06.2020 11:36
2736;Санкт-Петербург;ФГБОУ ВО СЗГМУ ИМ. И.И. МЕЧНИКОВА МИНЗДРАВА РОССИИ;АПР;ППМ;Ренмедпром;Дельта;1;11 550 000,00;17.06.2020 11:36
2737;Санкт-Петербург;ФГБОУ ВО СЗГМУ ИМ. И.И. МЕЧНИКОВА МИНЗДРАВА РОССИИ;АПР;ППМ;Ренмедпром;Дельта;1;11 550 000,00;17.06.2020 11:36
2738;Республика Тыва;"ГБУЗ РТ ""ПЕРИНАТАЛЬНЫЙ ЦЕНТР РТ""";АПР;ППМ;Medical ECONET;meX+60;1;1 052 504,00;26.06.2020 17:11
2739;Воронежская область;"БУЗ ВО ""ВГКБСМП № 8""";АПР;ППМ;Medical ECONET;meX+100с;1;70 720 000,00;10.06.2020 11:38
2740;Республика Саха (Якутия);"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""БУЛУНСКИЙ УЛУС (РАЙОН)"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)";;АПР;Севкаврентген;Парус;1;1 663 000,00;17.06.2020 11:02
2741;Новосибирская область;"ГАУЗ НСО ""СП №5""";ПМ;;;;1;209 000,00;23.06.2020 9:16
2742;Республика Карелия;"ГБУЗ ""КАЛЕВАЛЬСКАЯ ЦРБ""";КРТ;ППД1;Электрон;СУР-Т;1;16 000 000,00;04.06.2020 5:07
2743;Алтайский край;МИНЗДРАВ АЛТАЙСКОГО КРАЯ;КТ;32;Hitachi;Supria;1;37 450 000,00;04.06.2020 3:44
2744;Алтайский край;"КГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";Ф;ПП;Электрон;"ФЦ-""ОКО"" ";1;6 800 000,00;04.08.2020 9:10
2745;Алтайский край;"КГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";Ф;ПП;Электрон;"ФЦ-""ОКО"" ";1;6 800 000,00;04.08.2020 9:10
2746;Алтайский край;"КГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";Ф;ПП;Электрон;"ФЦ-""ОКО"" ";1;6 800 000,00;04.08.2020 9:10
2747;Курганская область;"ГКУ ""ЦЗБУ КО""";;АПР;;;1;не состоялся;04.08.2020 10:20
2748;Омская область;ФГБУЗ ЗСМЦ ФМБА РОССИИ;М;ППС;Planmed;;1;9 536 900,00;03.08.2020 9:15
2749;Красноярский край;ФГБУЗ КБ № 51 ФМБА РОССИИ;АПР;П;BMI;Jolly 30 Plus, ;1;2 990 000,00;04.08.2020 9:10
2750;Оренбургская область;"ГКУ ""ЦОЗ""";Ма;;Адани;;1;14 726 000,00;03.08.2020 13:30
2751;Оренбургская область;"ГКУ ""ЦОЗ""";Ма;;Адани;;1;14 726 000,00;03.08.2020 13:30
2752;Оренбургская область;"ГКУ ""ЦОЗ""";Ма;;Адани;;1;14 726 000,00;03.08.2020 13:30
2753;Оренбургская область;"ГКУ ""ЦОЗ""";Ма;;Адани;;1;14 726 000,00;03.08.2020 13:30
2754;Оренбургская область;"ГКУ ""ЦОЗ""";Ма;;Адани;;1;14 726 000,00;03.08.2020 13:30
2755;Кемеровская область;"ГБУЗ КО ""НГКБ №29""";;Ф;;;1;отменен;04.08.2020 11:20
2756;Москва;"ФГБУ ""НМИЦ ОНКОЛОГИИ ИМ. Н.Н. БЛОХИНА"" МИНЗДРАВА РОССИИ";КРД-2/СМ;потол излуч+АРМ;Philips;Digital Diagnost ;1;34 352 464,00;04.08.2020 12:15
2757;Тульская область;"ГКУ ТО ""ЦОЗ""";;АПР;;;1;отменен;04.08.2020 11:10
2758;Вологодская область;КОМИТЕТ ГОСЗАКАЗА  ОБЛАСТИ;КРД-2;ППМ;Адани;«УНИЭКСПЕРТ 2 плюс» ;1;11 842 075,00;04.08.2020 11:20
2759;Ростовская область;"ФГБУ ""НМИЦ ОНКОЛОГИИ"" МИНЗДРАВА РОССИИ";РХА;ПП;Philips;Zenition 70 ;1;24 341 300,00;30.07.2020 9:40
2759;Ростовская область;"ФГБУ ""НМИЦ ОНКОЛОГИИ"" МИНЗДРАВА РОССИИ";РХА;ПП;Ziehm;Ziehm Vision RFD ;1;25 150 000,00;30.07.2020 9:40
2760;Брянская область;"ГАУЗ ""БГП №1""";М;ППС;н/д;;1;12 028 416,67;
2761;Москва;"ФГБЛПУ ""ЛЕЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР МИД РОССИИ""";КРТ;УРИ+ППМ;;;1;22 000 000,00;
2762;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;КТ;128;GE;Revolution EVO ;1;66 297 193,91;04.08.2020 13:00
2763;Санкт-Петербург;"ФГБУ ""НМИЦ ИМ. В.А. АЛМАЗОВА"" МИНЗДРАВА РОССИИ";ОФЭКТ?;;;;1;;31.07.2020 12:10
2764;Москва;"ФГАУ ""НМИЦ НЕЙРОХИРУРГИИ ИМ. АК. Н.Н. БУРДЕНКО"" МИНЗДРАВА РОССИИ";МРТмодернизация;3;;Signa 3.0T HDxt;1;;
2765;Приморский край;"КГКУ ""ПРИМЗАКУПКИ""";РХА;УРИ;Shimadzu;Оpescope;1;11 442 500,00;06.08.2020 12:00
2766;Приморский край;"КГКУ ""ПРИМЗАКУПКИ""";РХА;УРИ;Shimadzu;Оpescope;1;11 442 500,00;06.08.2020 12:00
2767;Приморский край;"КГКУ ""ПРИМЗАКУПКИ""";АПРвет;ППМ;;;1;;06.08.2020 11:45
2768;Ямало-Ненецкий АО;ДЕПАРТАМЕНТ ГОСЗАКАЗА ЯНАО;КРТ;ППД2;GMM;OPERA 90/90 65;1;31 607 833,35;14.08.2020 10:00
2769;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;;Ма;;;1;не состоялся;05.08.2020 9:05
2770;Республика Татарстан;ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ ТАТАРСТАН ПО ЗАКУПКАМ;Фа;ПП;Ворсма ТД;ВМК «Лучевая диагностика»;1;9 900 000,00;07.08.2020 11:30
2771;Оренбургская область;"ГКУ ""ЦОЗ""";КРТ;УРИ+ППС;Гелпик;КРДЦ – Т20/Т2000 –«РЕНЕКС» ;1;17 989 653,30;05.08.2020 11:00
